ATM_Address,ATM_City_State,Merchant_Category,Merchant_Name,Transaction_Code,Transaction_Code_Description,Transaction_Type,Transaction_Type_Description,Transaction_Number,Amount_Completed,Transaction_Date,Time_Local_hhmmss,Recurring_Trxn,CustomerID
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*QE18P,20,POS Debit        Pri,P,Pinned Settlements  ,26,12.65,2026-01-18,111218, ,BSB151621
HANNAFORD #8107 653,BANGORME,5411,HANNAFORD #8107,20,POS Debit        Pri,P,Pinned Settlements  ,44,10.56,2026-01-20,135600, ,BSB059497
137 CONGRESS ST,RUMFORDME,9402,USPS PO 22732002,20,POS Debit        Pri,P,Pinned Settlements  ,23,100.0,2026-01-21,154610, ,BSB063926
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*OJ0CW,20,POS Debit        Pri,P,Pinned Settlements  ,5,32.08,2026-01-21,154626, ,BSB341155
440 Terry Ave N,SEATTLEWA,5818,Amazon Digit*B08,40,D/C SETTLEMENT,X,Pinless Settlements ,66,19.51,2025-11-21,192005, ,BSB341155
14 MAIN ST,ALBIONME,5541,ALBION FAMILY ST,40,D/C SETTLEMENT,X,Pinless Settlements ,75,4.26,2025-11-21,160700, ,BSB118917
137 MAIN ROAD,HOLDENME,5599,TRACTOR SUPPLY #,20,POS Debit        Pri,P,Pinned Settlements  ,59,16.66,2026-01-22,155613, ,BSB380128
18 MAIN STREET,NEWPORTME,5812,PIZZA HUT 040557,40,D/C SETTLEMENT,X,Pinless Settlements ,52,38.97,2025-11-22,171827, ,BSB118917
4 Factory Pasture L,KENNEBUNKME,4900,TPG*KENNEBUNKMEU,40,D/C SETTLEMENT,X,Pinless Settlements ,38,84.93,2025-11-21,165550, ,BSB341155
2911 53RD AVE E,BRADEN RIVERFL,5411,WAL-MART #0528,20,POS Debit        Pri,P,Pinned Settlements  ,27,61.42,2026-01-22,170249, ,BSB240500
1 WASHINGTON PARK 1,NEWARKNJ,5968,Audible*B09B2726,40,D/C SETTLEMENT,X,Pinless Settlements ,41,15.77,2025-11-21,182544,Y,BSB341155
TRIDENT ARMORY,HERMONME,5941,TRIDENT ARMORY,20,POS Debit        Pri,P,Pinned Settlements  ,35,50.0,2026-01-22,195112, ,BSB349381
23 Pleasant St,BrunswickME,8699,SQ *CURTIS MEMOR,40,D/C SETTLEMENT,X,Pinless Settlements ,3,110.0,2025-11-22,165255, ,BSB009207
1179 Eastman Road,North ConwayNH,5812,Peking Sunrise R,40,D/C SETTLEMENT,X,Pinless Settlements ,78,30.6,2025-11-22,170806, ,BSB021656
440 Terry Ave N,SEATTLEWA,5968,AMAZON PRIME*FY3,40,D/C SETTLEMENT,X,Pinless Settlements ,49,14.99,2025-11-22,164342,Y,BSB298767
1129 BANGOR ROAD,TROYME,5411,TROY GENERAL STO,40,D/C SETTLEMENT,X,Pinless Settlements ,0,36.47,2025-11-21,72021, ,BSB118917
930 West 14600 Sout,BLUFFDALEUT,5641,SP - SPARKLE IN,40,D/C SETTLEMENT,X,Pinless Settlements ,1,13.45,2025-11-22,120812, ,BSB341155
2911 53RD AVE E,BRADEN RIVERFL,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,94,14.48,2026-01-22,170339, ,BSB240500
2 FAIRVIEW ST,BELFASTME,5422,YOUNGS LOBSTER P,40,D/C SETTLEMENT,X,Pinless Settlements ,25,13.83,2025-11-21,130544, ,BSB158071
584 POOL ST,BIDDEFORDME,5542,SEASTAR CITGO MA,20,POS Debit        Pri,P,Pinned Settlements  ,11,13.0,2026-01-22,123906, ,BSB210779
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*QS7R9,20,POS Debit        Pri,P,Pinned Settlements  ,87,129.49,2026-01-21,214400, ,BSB021656
125 Topsham Fair Ma,TopshamME,5411,TARGET T-2130,20,POS Debit        Pri,P,Pinned Settlements  ,73,68.38,2026-01-21,182958, ,BSB117123
231 NORTHPORT AVE,BELFASTME,5251,AUBUCHON HARDWAR,20,POS Debit        Pri,P,Pinned Settlements  ,29,46.87,2026-01-22,115852, ,BSB298767
121 Albright Way,LOS GATOSCA,4899,NETFLIX.COM,40,D/C SETTLEMENT,X,Pinless Settlements ,0,17.99,2025-11-22,163154,Y,BSB118917
WWW.ETSY.COM/,BROOKLYNNY,5699,"ETSY, INC. ETSY.",20,POS Debit        Pri,P,Pinned Settlements  ,24,13.7,2026-01-22,3212, ,BSB021656
CIRCLE K 07054 59 P,KENNEBUNKME,5542,CIRCLE K 07054 5,20,POS Debit        Pri,P,Pinned Settlements  ,51,20.01,2026-01-21,221615, ,BSB210779
LISBON FALLS,LISBON FALLSME,5542,EZ MART FOODS O,20,POS Debit        Pri,P,Pinned Settlements  ,45,26.27,2026-01-22,152300, ,BSB367172
1129 BANGOR ROAD,TROYME,5411,TROY GENERAL STO,40,D/C SETTLEMENT,X,Pinless Settlements ,19,4.49,2025-11-22,82137, ,BSB118917
1 BELMONT AVENUE,BELFASTME,5311,RENYS BELFAST,40,D/C SETTLEMENT,X,Pinless Settlements ,83,24.12,2025-11-21,122021, ,BSB158071
1129 BANGOR ROAD,TROYME,5411,TROY GENERAL STO,40,D/C SETTLEMENT,X,Pinless Settlements ,91,1.26,2025-11-21,120000, ,BSB118917
930 West 14600 Sout,BLUFFDALEUT,5641,SP - SPARKLE IN,40,D/C SETTLEMENT,X,Pinless Settlements ,55,59.36,2025-11-22,120713, ,BSB341155
2484 CARMEL RD N,NEWBURGHME,5542,DYSART S CITGO T,20,POS Debit        Pri,P,Pinned Settlements  ,79,44.0,2026-01-22,102059, ,BSB356399
1200 West Royal Lee,PalmyraWI,5499,STANDARD PROCESS,40,D/C SETTLEMENT,X,Pinless Settlements ,31,582.75,2025-11-20,132930, ,BSB246428
9111 DUKE BLVD,MASONOH,5311,MACYS   .COM,40,D/C SETTLEMENT,X,Pinless Settlements ,52,52.74,2025-11-20,232045, ,BSB246428
189 Main St,LewistonME,5814,SQ *BLUE JAY COF,40,D/C SETTLEMENT,X,Pinless Settlements ,5,5.25,2025-11-22,92159, ,BSB466595
100 MOUNT AUBURN AV,AUBURNME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,48,6.76,2026-01-22,105628, ,BSB367172
100 MOUNT AUBURN AV,AUBURNME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,75,124.61,2026-01-22,104708, ,BSB367172
741 HOGAN RD,BANGORME,5812,OLIVE GARDEN ZK,40,D/C SETTLEMENT,X,Pinless Settlements ,22,10.01,2025-11-20,115253, ,BSB158071
48 Grove Street,SOMERVILLEMA,5411,SP WILDGRAIN,40,D/C SETTLEMENT,X,Pinless Settlements ,2,104.45,2025-11-21,212604,Y,BSB341155
MELBOURNE,MELBOURNEFL,5542,MELBOURNE VALER,20,POS Debit        Pri,P,Pinned Settlements  ,56,18.0,2026-01-21,215200, ,BSB387268
683 TENNEY MOUNTAIN,PLYMOUTHNH,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,75,20.6,2026-01-22,141723, ,BSB486193
1250 E HADLEY ST ST,PHOENIXAZ,5812,SAN TAN PHX CNP,40,D/C SETTLEMENT,X,Pinless Settlements ,29,49.07,2025-11-25,230932, ,BSB167597
8410 W BRYN MAWR,CHICAGOIL,4814,U.S. CELLULAR,40,D/C SETTLEMENT,X,Pinless Settlements ,52,169.41,2025-11-25,55314,Y,BSB132442
4 WORLD TRACE CENTE,8777781161NY,4899,SPOTIFY,40,D/C SETTLEMENT,X,Pinless Settlements ,64,12.65,2025-11-27,135723,Y,BSB132442
1743 Maplelawn Dr,TROYMI,5814,365 VEND,40,D/C SETTLEMENT,X,Pinless Settlements ,33,0.75,2025-11-24,152713, ,BSB063926
4 World Trade Cente,New YorkNY,4899,Spotify P3CCF8C7,40,D/C SETTLEMENT,X,Pinless Settlements ,21,12.65,2025-11-27,2742,Y,BSB013106
443 GRAY RD,WINDHAMME,5411,CORSETTI S MARKE,40,D/C SETTLEMENT,X,Pinless Settlements ,99,23.2,2025-11-26,115124, ,BSB188984
2 BROADWAY,NEW YORKNY,4111,MTA*NYCT PAYGO,40,D/C SETTLEMENT,X,Pinless Settlements ,38,2.9,2025-11-27,63727, ,BSB013106
CIRCLE K 07025 309,FARMINGTONME,5541,CIRCLE K 07025 3,20,POS Debit        Pri,P,Pinned Settlements  ,59,6.0,2026-01-22,141539, ,BSB075904
7700 EASTPORT PARKW,4029357733WA,5734,PAYPAL *MICROSOF,40,D/C SETTLEMENT,X,Pinless Settlements ,56,31.64,2025-11-26,101823,Y,BSB188984
154 PLEASANT ST.,BRUNSWICKME,5814,MCDONALD S F1147,20,POS Debit        Pri,P,Pinned Settlements  ,0,3.77,2026-01-21,54500, ,BSB339244
446 WESTERN AVE,SOUTH PORTLANME,5541,JETPORT GAS/CONV,20,POS Debit        Pri,P,Pinned Settlements  ,20,4.26,2026-01-21,54812, ,BSB145135
702 SW 8TH ST,BENTONVILLEAR,5300,SAMS CLUB.COM,20,POS Debit        Pri,P,Pinned Settlements  ,44,203.14,2026-01-20,131600, ,BSB502074
3002 WEST NEW HAVEN,WEST MELBOURNFL,5812,PAU HANA KAVA LL,40,D/C SETTLEMENT,X,Pinless Settlements ,33,36.88,2025-11-27,170011, ,BSB387268
268 NORTH WICKHAM R,MELBOURNEFL,5999,NOBLE TEA,40,D/C SETTLEMENT,X,Pinless Settlements ,10,9.58,2025-11-26,25300, ,BSB387268
440 Terry Ave N,SEATTLEWA,5968,AMAZON PRIME*I05,40,D/C SETTLEMENT,X,Pinless Settlements ,67,14.99,2025-11-27,193052,Y,BSB118917
1129 BANGOR ROAD,TROYME,5411,TROY GENERAL STO,40,D/C SETTLEMENT,X,Pinless Settlements ,20,2.42,2025-11-26,134904, ,BSB118917
1 HSN Drive,SAINT PETERSFL,5969,HSN*HSN205623810,40,D/C SETTLEMENT,X,Pinless Settlements ,72,7.17,2025-11-25,143321, ,BSB100726
2582 MAIN STREET,RANGELEYME,5411,LAKESIDE CONVENI,40,D/C SETTLEMENT,X,Pinless Settlements ,64,12.64,2025-11-27,93404, ,BSB084941
161 E MAIN ST,SEARSPORTME,5541,MARITIME FARMS,20,POS Debit        Pri,P,Pinned Settlements  ,15,4.32,2026-01-20,64156, ,BSB101817
800 MINOT AVE,AUBURNME,5814,DUNKIN #331926,40,D/C SETTLEMENT,X,Pinless Settlements ,97,9.58,2025-11-26,72400, ,BSB244515
814 N Central Ave,PhoenixAZ,5812,TST*HUARACHIS,40,D/C SETTLEMENT,X,Pinless Settlements ,95,38.0,2025-11-25,135605, ,BSB167597
632 MAIN STREET,ROCKLANDME,5814,DUNKIN #301591,40,D/C SETTLEMENT,X,Pinless Settlements ,62,6.48,2025-11-25,110600, ,BSB191975
149 PARK ST,ROCKLANDME,7542,PARK STREET CARW,40,D/C SETTLEMENT,X,Pinless Settlements ,3,15.0,2025-11-25,101401, ,BSB191975
353 MAIN STREET,BANGORME,5411,SHAWS OSCO 4556,40,D/C SETTLEMENT,X,Pinless Settlements ,65,149.39,2025-11-24,161300, ,BSB320386
236 MAIN STREET,EAST WATERBORME,5814,AROMA JOES - 44,40,D/C SETTLEMENT,X,Pinless Settlements ,80,5.05,2025-11-26,62238, ,BSB313147
303 2nd Street Suit,SAN FRANCISCOCA,5812,DD *DOORDASH MCD,40,D/C SETTLEMENT,X,Pinless Settlements ,27,37.7,2025-11-24,180103, ,BSB429929
EDWARDS BROS SUPERM,SEARSPORTME,5411,EDWARDS BROS SUP,20,POS Debit        Pri,P,Pinned Settlements  ,51,34.23,2026-01-18,141135, ,BSB101817
2454 Main St,RANGELEYME,5812,SARGES SPORTS PU,40,D/C SETTLEMENT,X,Pinless Settlements ,46,32.0,2025-11-26,165024, ,BSB084941
1129 BANGOR ROAD,TROYME,5411,TROY GENERAL STO,40,D/C SETTLEMENT,X,Pinless Settlements ,4,7.04,2025-11-22,160642, ,BSB118917
CIRCLE K 07025 309,FARMINGTONME,5541,CIRCLE K 07025 3,20,POS Debit        Pri,P,Pinned Settlements  ,93,15.0,2026-01-21,224140, ,BSB187164
1563 W NEW HAVEN AV,MELBOURNEFL,5814,CHIPOTLE 1839,40,D/C SETTLEMENT,X,Pinless Settlements ,71,10.91,2025-11-22,180714, ,BSB387268
125 Topsham Fair Ma,TopshamME,5411,TARGET T-2130,20,POS Debit        Pri,P,Pinned Settlements  ,63,33.74,2026-01-22,135316, ,BSB367172
4 World Trade Cente,New YorkNY,4899,Spotify P3CB25C5,40,D/C SETTLEMENT,X,Pinless Settlements ,93,21.09,2025-11-23,181152,Y,BSB246428
AUGUSTA,AUGUSTAME,5541,AUGUSTA IRVING,20,POS Debit        Pri,P,Pinned Settlements  ,56,36.63,2026-01-22,135100, ,BSB153866
519 WARREN AVE,PORTLANDME,5814,AROMA JOES - 10,40,D/C SETTLEMENT,X,Pinless Settlements ,95,9.02,2025-11-22,64354, ,BSB294285
268 NORTH WICKHAM R,MELBOURNEFL,5999,NOBLE TEA,40,D/C SETTLEMENT,X,Pinless Settlements ,93,24.33,2025-11-23,23804, ,BSB387268
Room 20 Unit 03 7th,HONG KONG,5712,HS *loftfiber,40,D/C SETTLEMENT,X,Pinless Settlements ,57,28.74,2025-11-23,173010, ,BSB063097
975 STILLWATER AVE,OLD TOWNME,5814,DUNKIN #359827,40,D/C SETTLEMENT,X,Pinless Settlements ,48,11.42,2025-11-22,83900, ,BSB322208
860 VILLAGE RD,SMITHFIELDME,9402,USPS PO 22796509,40,D/C SETTLEMENT,X,Pinless Settlements ,70,31.84,2025-11-21,132230, ,BSB246428
105 BOTANICAL GARDE,BOOTHBAYME,7991,FSP*COASTAL ME B,40,D/C SETTLEMENT,X,Pinless Settlements ,46,19.0,2025-11-22,153202, ,BSB063097
115 Perimeter Cente,ATLANTAGA,5812,BM * MY LO MEIN,40,D/C SETTLEMENT,X,Pinless Settlements ,41,55.0,2025-11-23,125208, ,BSB322208
1 STATE FARM PLAZA,BLOOMINGTONIL,6300,STATE FARM  INSU,40,D/C SETTLEMENT,X,Pinless Settlements ,95,106.5,2025-11-21,25852, ,BSB466595
3301 Natchez Lane,LOUISVILLEKY,8043,SP SHADY RAYS,40,D/C SETTLEMENT,X,Pinless Settlements ,84,26.63,2025-11-24,634, ,BSB387268
970 Park Place,SAN MATEOCA,5816,ROBLOX 1.888.858,40,D/C SETTLEMENT,X,Pinless Settlements ,43,9.99,2025-11-21,122242, ,BSB181938
130 ROYALL STREET.,CANTONMA,5814,DUNKIN  MOBILE G,40,D/C SETTLEMENT,X,Pinless Settlements ,1,10.0,2025-11-21,84300, ,BSB201304
31 ST JAMES AVE. ST,13024806118MA,5311,TEMU.COM,40,D/C SETTLEMENT,X,Pinless Settlements ,40,65.62,2025-11-21,164456, ,BSB063097
494 SOMERSET AVE,PITTSFIELDME,5541,PITTSFIELD IRVIN,40,D/C SETTLEMENT,X,Pinless Settlements ,39,3.2,2025-11-21,81700, ,BSB201304
CUMBERLAND FARMS 56,BRUNSWICKME,5541,CUMBERLAND FARMS,20,POS Debit        Pri,P,Pinned Settlements  ,95,9.39,2026-01-22,91504, ,BSB367172
440 Terry Ave N,SEATTLEWA,5942,AMAZON MKTPL*B00,40,D/C SETTLEMENT,X,Pinless Settlements ,93,207.72,2025-11-21,81155, ,BSB306165
7700 EASTPORT PARKW,8558124430NY,4829,VENMO *KEVIN GIL,40,D/C SETTLEMENT,X,Pinless Settlements ,11,134.0,2025-11-21,175818, ,BSB452425
HANNAFORD #8358 520,RUMFORDME,5411,HANNAFORD #8358,20,POS Debit        Pri,P,Pinned Settlements  ,74,8.14,2026-01-03,124212, ,BSB233910
611 Gateway Blvd Su,SOUTH SAN FRACA,5734,MIDJOURNEY INC.,40,D/C SETTLEMENT,X,Pinless Settlements ,84,10.55,2025-11-26,165844,Y,BSB415686
5202 N CENTRAL AVE,PHOENIXAZ,5812,TST* JOYRIDE - C,40,D/C SETTLEMENT,X,Pinless Settlements ,1,128.93,2025-11-25,195135, ,BSB167597
293 MAIN STREET,FARMINGTONME,5814,AROMA JOES - 215,40,D/C SETTLEMENT,X,Pinless Settlements ,66,11.28,2025-11-27,82234, ,BSB041396
1 HSN Drive,SAINT PETERSFL,5969,HSN*HSN205623788,40,D/C SETTLEMENT,X,Pinless Settlements ,84,7.17,2025-11-25,143315, ,BSB100726
WEST STEWARTS,WEST STEWARTSNH,5411,SOLOMON S STORE,20,POS Debit        Pri,P,Pinned Settlements  ,63,15.57,2026-01-21,122800, ,BSB277313
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*U29T2,20,POS Debit        Pri,P,Pinned Settlements  ,47,63.94,2026-01-20,163157, ,BSB306165
268 MAIN ST,BELFASTME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,97,3.0,2026-01-22,165406, ,BSB421149
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*TE28C,20,POS Debit        Pri,P,Pinned Settlements  ,46,115.55,2026-01-20,211138, ,BSB051136
200 S Indian Canyon,Palm SpringsCA,5813,TST*QUADZ - PALM,40,D/C SETTLEMENT,X,Pinless Settlements ,51,16.5,2025-11-23,11305, ,BSB320386
298 RASBERRY ROAD,CRESTVIEWFL,5200,LOWE S #1782,20,POS Debit        Pri,P,Pinned Settlements  ,62,65.47,2026-01-21,150256, ,BSB051136
47 HASKELL RD,BANGORME,5300,SAMS CLUB #6333,20,POS Debit        Pri,P,Pinned Settlements  ,9,46.94,2026-01-21,135028, ,BSB334906
MERCER,MERCERME,5541,MERCER IRVING,20,POS Debit        Pri,P,Pinned Settlements  ,79,12.58,2026-01-21,112800, ,BSB288588
CIRCLE K 07035 92 M,MADISONME,5542,CIRCLE K 07035 9,20,POS Debit        Pri,P,Pinned Settlements  ,21,42.11,2026-01-22,133447, ,BSB502705
FAIRFIELD,FAIRFIELDME,5411,BUDDIES GROCERI,20,POS Debit        Pri,P,Pinned Settlements  ,26,9.06,2026-01-21,125300, ,BSB432581
3333 FAIRVIEW RD.,COSTA MESACA,8675,AAA NNE MEMBERSH,40,D/C SETTLEMENT,X,Pinless Settlements ,3,91.5,2025-11-20,144147, ,BSB506128
1 MERCHANTS PLAZA,BANGORME,5994,BANGOR DAILY NEW,40,D/C SETTLEMENT,X,Pinless Settlements ,36,55.09,2025-11-21,65616, ,BSB295022
248 SAINT JOHN ST,PORTLANDME,5733,BUCKDANCER S CHO,40,D/C SETTLEMENT,X,Pinless Settlements ,68,1000.0,2025-11-23,162018, ,BSB233910
"36 KERKYRAS, FLAT 3",35314369001,7298,PAYPAL *MADMUSCL,40,D/C SETTLEMENT,X,Pinless Settlements ,82,18.99,2025-11-22,204947,Y,BSB175272
15 C PELHAM RIDGE D,GREENVILLESC,7622,CIRCUIT BOARD ME,40,D/C SETTLEMENT,X,Pinless Settlements ,13,638.71,2025-11-24,91833, ,BSB042864
7700 EASTPORT PARKW,4029357733NY,4899,PAYPAL *PEACOCKT,40,D/C SETTLEMENT,X,Pinless Settlements ,55,10.99,2025-11-24,160522,Y,BSB317994
91 AUBURN ST,PORTLANDME,7399,THE UPS STORE 41,40,D/C SETTLEMENT,X,Pinless Settlements ,58,16.91,2025-11-24,155246, ,BSB431177
404 CIVIC CENTER DR,8008329255CA,5661,VIONIC SHOES,40,D/C SETTLEMENT,X,Pinless Settlements ,59,151.39,2025-11-23,230717, ,BSB233910
1 Microsoft Way,REDMONDWA,5734,MICROSOFT*STORE,40,D/C SETTLEMENT,X,Pinless Settlements ,92,5.26,2025-11-24,133715, ,BSB109686
7 TRANSALPINE ROAD,LINCOLNME,8062,PENOBSCOT VALLEY,40,D/C SETTLEMENT,X,Pinless Settlements ,32,40.0,2025-11-24,80051,Y,BSB317994
7700 EASTPORT PARKW,4029357733CA,4899,PAYPAL *PARAMNTP,40,D/C SETTLEMENT,X,Pinless Settlements ,56,12.99,2025-11-24,224239,Y,BSB075280
60 FAIR ST,NORWAYME,5814,DUNKIN #355846,40,D/C SETTLEMENT,X,Pinless Settlements ,70,18.44,2025-11-24,104300, ,BSB367172
7700 EASTPORT PARKW,4029357733CA,5949,PAYPAL *ALICIAPL,40,D/C SETTLEMENT,X,Pinless Settlements ,43,7.0,2025-11-22,190421, ,BSB357198
82 Main St,BELFASTME,5399,SP FIBER OF MAIN,40,D/C SETTLEMENT,X,Pinless Settlements ,85,13.19,2025-11-21,114513, ,BSB357198
102 GARLAND ST,BANGORME,5411,JOE S MARKET,40,D/C SETTLEMENT,X,Pinless Settlements ,58,13.74,2025-11-23,144209, ,BSB429929
68 W FRONT ST,SKOWHEGANME,5499,WEST FRONT MARKE,40,D/C SETTLEMENT,X,Pinless Settlements ,64,12.01,2025-11-20,191721, ,BSB429929
629 N High St  Floo,ColumbusOH,5999,Klarna*Walmart,40,D/C SETTLEMENT,X,Pinless Settlements ,10,205.19,2025-11-23,203427, ,BSB429929
5724 Highway 280 Ea,BirminghamAL,4812,Moultrie,40,D/C SETTLEMENT,X,Pinless Settlements ,98,16.99,2025-11-22,42733,Y,BSB506128
755 ROOSEVELT TRAIL,WINDHAMME,5814,KFC G135828,40,D/C SETTLEMENT,X,Pinless Settlements ,80,9.39,2025-11-24,122502, ,BSB148924
10 ROUTE 635,LAKE GEORGENB,5812,DENNYS RESTAURAN,40,D/C SETTLEMENT,X,Pinless Settlements ,70,18.2,2025-11-23,182455, ,BSB451942
227 Philbrick Rd,SIDNEYME,5814,USCONNECT MAINLY,40,D/C SETTLEMENT,X,Pinless Settlements ,89,2.73,2025-11-24,55116, ,BSB367172
2535 North First St,San JoseCA,5311,eBay O*13-13867-,40,D/C SETTLEMENT,X,Pinless Settlements ,19,111.02,2025-11-23,152307, ,BSB295022
Kings Place 90 York,35314369001,2741,PAYPAL *THEGUARD,40,D/C SETTLEMENT,X,Pinless Settlements ,52,5.0,2025-11-23,161401,Y,BSB293466
4 MADISON ROAD,NORRIDGEWOCKME,5411,FRIENDS FOODMART,40,D/C SETTLEMENT,X,Pinless Settlements ,12,4.31,2025-11-24,81758, ,BSB035066
1 JUNKINS AVE,PORTSMOUTHNH,7523,PORTSMOUTH PARKI,40,D/C SETTLEMENT,X,Pinless Settlements ,72,4.0,2025-11-23,114630, ,BSB356754
190 RUMERY ST,SOUTH PORTLANME,7538,HEWS COMPANY,40,D/C SETTLEMENT,X,Pinless Settlements ,61,60.65,2025-11-21,233513, ,BSB042864
455 US ROUTE 1,STEUBENME,5542,SHELL OIL1309277,40,D/C SETTLEMENT,X,Pinless Settlements ,44,27.29,2025-11-25,221220, ,BSB458791
1030 DELTA BLVD,DELTA.COMCA,3058,DELTA,40,D/C SETTLEMENT,X,Pinless Settlements ,30,199.18,2025-11-24,204358, ,BSB204947
735 WILSON ST,BREWERME,5912,BREWER MEDICAL C,20,POS Debit        Pri,P,Pinned Settlements  ,25,12.65,2026-01-21,143026, ,BSB482129
164 LONGVIEW DR,BANGORME,5300,BJS WHOLESALE #0,20,POS Debit        Pri,P,Pinned Settlements  ,62,19.09,2026-01-21,140642, ,BSB482129
99 PESCH CIR STE 42,BANGORME,5411,BANGOR ANG COMMI,20,POS Debit        Pri,P,Pinned Settlements  ,25,33.03,2026-01-18,103925, ,BSB284879
60 FAIRGROUNDS MKT,SKOWHEGANME,5411,WAL WAL-MART #21,20,POS Debit        Pri,P,Pinned Settlements  ,72,28.87,2026-01-17,150329, ,BSB203034
380 NEW HARTFORD RD,BARKHAMSTEDCT,5599,TRACTOR SUPPLY #,20,POS Debit        Pri,P,Pinned Settlements  ,34,8.5,2026-01-19,93857, ,BSB008954
HANNAFORD #8354 787,PORTLANDME,5411,HANNAFORD #8354,20,POS Debit        Pri,P,Pinned Settlements  ,10,25.15,2026-01-17,114202, ,BSB084035
HANCOCK,HANCOCKME,5542,HANCOCK IRVING,20,POS Debit        Pri,P,Pinned Settlements  ,40,35.28,2026-01-17,153600, ,BSB284879
MEXICO,MEXICOME,5533,ADVANCE AUTO PA,20,POS Debit        Pri,P,Pinned Settlements  ,79,233.09,2026-01-21,122700, ,BSB063926
10 MOOSEHEAD LAKE,GREENVILLEME,5541,BIG APPLE #1061,20,POS Debit        Pri,P,Pinned Settlements  ,7,23.92,2026-01-22,93451, ,BSB461963
900 STILLWATER AVE,BANGORME,5411,WAL WAL-MART #18,20,POS Debit        Pri,P,Pinned Settlements  ,54,1.45,2026-01-21,20820, ,BSB390147
180 LARRABEE ROAD,WESTBROOKME,5533,NAPA STORE 07800,20,POS Debit        Pri,P,Pinned Settlements  ,0,38.46,2026-01-22,145700, ,BSB184494
10 Canal Street,AUGUSTAME,5814,SQ *SAND HILL BA,40,D/C SETTLEMENT,X,Pinless Settlements ,26,25.77,2025-11-24,81323, ,BSB009207
100 N HOWARD ST STE,SPOKANEWA,5999,M.SAKERPLUS,40,D/C SETTLEMENT,X,Pinless Settlements ,78,113.29,2025-11-25,192530, ,BSB506128
652 BROADWAY,BANGORME,5812,TST* THE COFFEE,40,D/C SETTLEMENT,X,Pinless Settlements ,31,21.17,2025-11-25,101553, ,BSB317994
111 MAIN ST,MACHIASME,5812,TST* HELEN S RES,40,D/C SETTLEMENT,X,Pinless Settlements ,25,25.73,2025-11-25,135812, ,BSB286192
HANNAFORD #8330 100,SKOWHEGANME,5411,HANNAFORD #8330,20,POS Debit        Pri,P,Pinned Settlements  ,54,54.61,2026-01-22,90415, ,BSB458811
1081 Crystal Road,ISLAND FALLSME,5542,EDWARDS MARKET,20,POS Debit        Pri,P,Pinned Settlements  ,68,30.13,2026-01-21,110644, ,BSB361702
585 PILOT RD,LAS VEGASNV,6012,ACI*CREDIT ONE B,40,D/C SETTLEMENT,X,Pinless Settlements ,82,559.4,2025-11-25,82058, ,BSB204947
1024 MAIN RD,HOLDENME,5814,DUNKIN #308789 Q,40,D/C SETTLEMENT,X,Pinless Settlements ,40,4.09,2025-11-25,72400, ,BSB061382
440 Terry Ave N,SEATTLEWA,5942,AMAZON MKTPL*B28,40,D/C SETTLEMENT,X,Pinless Settlements ,47,39.94,2025-11-25,55305, ,BSB151621
301 US ROUTE 1 ATTE,SCARBROUGHME,8062,MED*MAINE MEDICA,40,D/C SETTLEMENT,X,Pinless Settlements ,7,15.0,2025-11-25,83027, ,BSB405412
800 MINOT AVE,AUBURNME,5814,DUNKIN #331926,40,D/C SETTLEMENT,X,Pinless Settlements ,16,5.5,2025-11-24,71600, ,BSB244515
4 HAMILTON CT,TOPSHAMME,5542,CIRCLE K 07063,40,D/C SETTLEMENT,X,Pinless Settlements ,35,48.7,2025-11-25,133043, ,BSB509688
215 WATER ST,BATHME,5499,TST* KENNEBEC ME,40,D/C SETTLEMENT,X,Pinless Settlements ,44,98.89,2025-11-26,111122, ,BSB104595
440 Terry Ave N,SEATTLEWA,5942,AMAZON MKTPL*B04,40,D/C SETTLEMENT,X,Pinless Settlements ,73,37.97,2025-11-21,211403, ,BSB306165
8 OXFORD ST,FRYEBURGME,4814,CONSOLIDATED COM,40,D/C SETTLEMENT,X,Pinless Settlements ,48,100.16,2025-11-21,85153, ,BSB151119
440 Terry Ave N,SEATTLEWA,5818,Amazon Digit*B02,40,D/C SETTLEMENT,X,Pinless Settlements ,34,19.51,2025-11-22,222132, ,BSB062119
140 MAIN ST,FREEPORTME,5812,TUSCAN BRICK OVE,40,D/C SETTLEMENT,X,Pinless Settlements ,94,95.92,2025-11-23,131512, ,BSB062119
23 BELMONT AVE,BELFASTME,5814,DAIRY QUEEN #404,40,D/C SETTLEMENT,X,Pinless Settlements ,82,15.12,2025-11-23,105512, ,BSB101711
HANNAFORD #8241 93,BELFASTME,5411,HANNAFORD #8241,20,POS Debit        Pri,P,Pinned Settlements  ,48,31.79,2026-01-22,132832, ,BSB298767
